=== batch 14a ===
  OK: asn1.h :: ASN1_INTEGER_cmp
  OK: asn1.h.in :: ASN1_INTEGER_cmp
  OK: asn1.h :: ASN1_TIME_adj
  OK: asn1.h.in :: ASN1_TIME_adj
  OK: asn1.h :: a2i_ASN1_INTEGER
  OK: asn1.h.in :: a2i_ASN1_INTEGER
  OK: asn1.h :: ASN1_INTEGER_get_int64
  OK: asn1.h.in :: ASN1_INTEGER_get_int64
  OK: asn1.h :: BN_to_ASN1_INTEGER
  OK: asn1.h.in :: BN_to_ASN1_INTEGER
  OK: asn1.h :: ASN1_ENUMERATED_to_BN
  OK: asn1.h.in :: ASN1_ENUMERATED_to_BN
  OK: asn1.h :: ASN1_TIME_print_ex
  OK: asn1.h.in :: ASN1_TIME_print_ex
  OK: asn1.h :: ASN1_item_i2d
  OK: asn1.h.in :: ASN1_item_i2d
  OK: asn1.h :: ASN1_item_print
  OK: asn1.h.in :: ASN1_item_print
  OK: bio.h :: BIO_POLL_DESCRIPTOR::value union
  OK: bio.h.in :: BIO_POLL_DESCRIPTOR::value union
  OK: bio.h :: BIO_debug_callback_ex
  OK: bio.h.in :: BIO_debug_callback_ex
  OK: bio.h :: BIO_read
  OK: bio.h.in :: BIO_read
  OK: bio.h :: BIO_puts
  OK: bio.h.in :: BIO_puts
  OK: bio.h :: BIO_callback_ctrl
  OK: bio.h.in :: BIO_callback_ctrl
  OK: bio.h :: BIO_nread
  OK: bio.h.in :: BIO_nread
  OK: bio.h :: BIO_new_mem_buf
  OK: bio.h.in :: BIO_new_mem_buf
  OK: bio.h :: BIO_sock_should_retry
  OK: bio.h.in :: BIO_sock_should_retry
  OK: bio.h :: BIO_dump_fp
  OK: bio.h.in :: BIO_dump_fp
  OK: bio.h :: BIO_ADDRINFO_protocol
  OK: bio.h.in :: BIO_ADDRINFO_protocol
  OK: bn.h :: BN_set_flags
  OK: bn.h :: BN_with_flags
  OK: bn.h :: BN_CTX_new
  OK: bn.h :: BN_priv_rand_range_ex
  OK: bn.h :: BN_bin2bn
  OK: bn.h :: BN_bn2mpi
  OK: bn.h :: BN_mod_sub_quick
  OK: bn.h :: BN_mod_sqr
  OK: bn.h :: BN_get_word
  OK: bn.h :: BN_are_coprime
  OK: bn.h :: BN_mod_mul_montgomery
  OK: bn.h :: BN_GF2m_mod_div_arr
  OK: bn.h :: BN_get_rfc2409_prime_768
  OK: bn.h :: BN_get_rfc3526_prime_4096
  OK: cms.h :: CMS_data_create_ex
  OK: cms.h.in :: CMS_data_create_ex
  OK: cms.h :: CMS_signed_get_attr_by_NID
  OK: cms.h.in :: CMS_signed_get_attr_by_NID
  OK: conf.h :: CONF_MODULE
  OK: conf.h.in :: CONF_MODULE
  OK: conf.h :: stack_st_CONF_IMODULE
  OK: conf.h.in :: stack_st_CONF_IMODULE
  OK: conf.h :: CONF_load
  OK: conf.h.in :: CONF_load
  OK: conf.h :: NCONF_default
  OK: conf.h.in :: NCONF_default
  OK: conf.h :: NCONF_free
  OK: conf.h.in :: NCONF_free
  OK: conf.h :: CONF_module_get_usr_data
  OK: conf.h.in :: CONF_module_get_usr_data
  OK: core.h :: OPENSSL_CORE_CTX
  OK: core.h :: ossl_param_st::data_type
  OK: crypto.h :: crypto_ex_data_st
  OK: crypto.h.in :: crypto_ex_data_st
  OK: crypto.h :: CRYPTO_new_ex_data
  OK: crypto.h.in :: CRYPTO_new_ex_data
  OK: crypto.h :: CRYPTO_get_mem_functions
  OK: crypto.h.in :: CRYPTO_get_mem_functions
  OK: crypto.h :: CRYPTO_secure_zalloc
  OK: crypto.h.in :: CRYPTO_secure_zalloc
  OK: crypto.h :: CRYPTO_secure_used
  OK: crypto.h.in :: CRYPTO_secure_used
  OK: crypto.h :: OPENSSL_INIT_free
  OK: crypto.h.in :: OPENSSL_INIT_free
  OK: crypto.h :: OSSL_LIB_CTX_set0_default
  OK: crypto.h.in :: OSSL_LIB_CTX_set0_default
  OK: cryptoerr_legacy.h :: ERR_load_DSA_strings

OK=85 MISS=0
